ID,Problema,Local,Causa_Raiz_Referencia,Evidencia,Status_Causalidade,Contencao,Acao_Corretiva,Controle,KPI,Evidencia_de_Eficacia
RC-01,Variabilidade de espessura,ISBM-003,Instabilidade de programação do parison,RangeR ~2.6x pares + Cpk/controle + redo,Forte; confirmar em campo,Segregar lotes sob risco,Verificar programação atuadores sensores e condição mecânica,SPC de Thickness + tendência Cpk, Cpk/RangeR/FPY,3-6 meses de estabilidade
RC-02,Flash aumenta com ciclos,IM-004/molde,Campanhas longas e desgaste acumulado,Flash sobe entre setups e cai após changeover,Causalidade do dataset; confirmar em campo,Inspeção reforçada,Definir contador de ciclos e limite técnico,Alerta por ciclos + condição do molde,Flash DPMO vs ciclos,Confirmação por janela operacional
RC-03,Adhesion spike,SS-002/FR-007-PP-350,Resina PP marginal de SUP-005,8-9x defeitos na janela + OOS incoming,Forte associação temporal/material,Segregar lote, Supplier CAPA + confirmação material-processo,Rastreabilidade lote + incoming QC,Adhesion DPMO,Queda sustentada pós-CAPA
RC-04,Foil Transfer em alta velocidade,HF-001,Janela de processo estreita em alta velocidade,Ciclo curto correlaciona com defeito,Causalidade experimental/sintética; confirmar,Limitar velocidade ao padrão atual,Instrumentar velocidade e validar janela,Alarme de velocidade + SPC,Foil Transfer DPMO,Replicação em produção
RC-05,Short Shot/Weight,IM-002,Banda de aquecimento marginal + interação temperatura/velocidade,Machine effect + MSA + DOE,Mais forte evidência causal; confirmação pendente,Contenção por parâmetros atuais,DOE confirmatório e atualização de parâmetros,SPC + plano de controle,Short Shot/Cpk Weight,Confirmação independente
RC-06,Paradas elevadas,ISBM-005,Envelhecimento hidráulico,2.3x frequência de paradas + qualidade normal,Forte associação de manutenção,Plano de contingência,Inspeção hidráulica e componentes críticos,Condition monitoring,MTBF/MTTR/Availability,Melhora sustentada
RC-07,Confiabilidade em queda,SS-001,Desgaste rolete/rasqueta + backlog,Tendência falhas/MTTR + melhora pós-overhaul,Forte evidência temporal,Disponibilidade de sobressalentes,Eliminar backlog e PM por modo de falha,NHPP/MTBF/MTTR por horas de operação,MTBF/MTTR/falhas por 100h,6 meses pós-overhaul
RC-08,Prêmio de defeito turno 2,Todos,Fadiga/handover no dataset,Taxa turno 2 ~2.9% vs 2.2-2.4%,Associação; mecanismo requer validação,Reforço de supervisão,handover e estudo de carga/ergonomia,SPC e auditoria de standard work,FPY ajustado por mix,Sem diferença após ajuste
RC-09,Refação de lote,Multi-processo,Episódios centrados nas causas upstream,8 episódios + reemissão de WO,Forte como validação do dataset,Segregação,Eliminar causas RC-01..RC-07,Controle de rework/rework Pareto,Redo rate/hours/units,Redução sustentada
RC-10,Variabilidade operador,OP-INJ-003,Alta dispersão sem viés de média,RangeR ~2x pares + média semelhante,Forte evidência de variabilidade,Supervisão/standard work,Observar método ergonomia e técnica,Auditoria + SPC,RangeR/FPY,Redução de variabilidade
RC-11,Fornecedor ruim,SUP-005,Processo de fornecimento com OOS elevado,Incoming reject e supplier complaints elevados,Forte associação fornecedor→entrada,Bloqueio/segregação,Supplier CAPA/auditoria/contingência,Scorecard fornecedor,PPM/OOS/complaints,Desempenho sustentado
RC-12,Mold wear,M-SOP-007,Desgaste acumulado por ciclos,Flash/Leakage sobem com exposição e caem após reforma,Forte evidência do dataset,Inspeção reforçada,Manutenção baseada em condição/ciclos,Contador + alerta + reforma,Defect rate/Cpk/RPN,Sem tendência antes do limite
RC-13,Parâmetro oculto,HF-001/Injeção,Velocidade real não registrada,ActualCycleTimeSec recupera sinal,Causa de governança + processo,Usar proxy atual,Instrumentar parâmetros por ordem,Data quality + alarmes,Cobertura de parâmetros,>95% registros completos
RC-14,Reclamações parcialmente explicadas,Clientes,Mistura de escapes de qualidade e causas logísticas,Rastreabilidade mostra heterogeneidade,Forte evidência de heterogeneidade,Classificação manual dos casos,Taxonomia e rastreabilidade complaint→lote,Auditoria de rastreabilidade,CPMU/% rastreável,Redução de complaints sem causa
RC-15,Curva de aprendizado linha nova,ISBM-009/FA-030,Máquina e produto novos comissionados juntos,Defeito +41% nas primeiras 7 semanas vs após,Forte; padrão consistente com storyline bônus original,Inspeção reforçada no lançamento,Padronizar checklist de start-up de linha nova,SPC de atributo por semana desde comissionamento,Defect rate semanal,Convergência à linha de base em ~7 semanas
RC-16,Mortalidade infantil de equipamento,IM-007,Comissionamento elétrico/controlador não estabilizado,Paradas não planejadas ~2x a linha de base nas 8 primeiras semanas,Forte; padrão bathtub curve clássico,Plano de contingência de produção,Checklist de comissionamento elétrico e burn-in,MTBF/MTTR semanal desde comissionamento,Paradas não planejadas por semana,Estabilização em ~8 semanas
RC-17,Fornecedor novo grau-farma com escape de qualidade,SUP-009,Fornecedor novo (Spot Purchase) sem histórico de qualificação,Taxa de reprovação ~25% na janela vs ~6% fora dela,Forte associação temporal/fornecedor,Bloqueio/segregação de lote,Qualificação formal de fornecedor + auditoria,Scorecard de fornecedor,PPM/OOS,Normalização pós-ação corretiva
RC-18,Viés de operador em treinamento,OP-SOP-006/ISBM-010,Curva de aprendizado de operador novo na máquina nova,Desvio normalizado +0.24 vs ~0 fora da janela,Forte evidência de viés temporário,Supervisão reforçada,Padronizar treinamento e certificação de operador,SPC (XBar) por operador,Desvio normalizado (XBar-Nominal)/(USL-LSL),Convergência a zero em ~5 semanas
RC-19,Desgaste de molde em tampa farma (em aberto),M-INJ-012/TE-012,Desgaste acumulado por ciclos sem reforma ainda,Tamper Band Separation sobe de ~2% para ~5% ao longo do ano,Forte evidência do dataset; achado ainda ABERTO,Inspeção reforçada,Definir gatilho de reforma por ciclos acumulados,Contador de ciclos + alerta,Tamper Band Separation DPMO,Reforma pendente -- sem evidência de eficácia ainda
RC-20,Aperto de amostragem por auditoria de cliente,PT-/CUST-015,Resposta proativa a auditoria externa documentada,Evento pontual de amostragem mais rigida (nao e defeito),Evento documentado -- nao e causa-raiz de defeito,N/A -- acao proativa,Manter registro de auditorias externas e gatilhos,Rastreabilidade de eventos de auditoria,N/A,Auditoria encerrada sem achado de nao conformidade
