ID,Problema,Local,Causa_Raiz_Referencia,Evidencia,Status_Causalidade,Contencao,Acao_Corretiva,Controle,KPI,Evidencia_de_Eficacia,Prioridade
RC-05,Short Shot/Weight,IM-002,Banda de aquecimento marginal + interação temperatura/velocidade,Machine effect + MSA + DOE,Mais forte evidência causal; confirmação pendente,Contenção por parâmetros atuais,DOE confirmatório e atualização de parâmetros,SPC + plano de controle,Short Shot/Cpk Weight,Confirmação independente,1
RC-01,Variabilidade de espessura,ISBM-003,Instabilidade de programação do parison,RangeR ~2.6x pares + Cpk/controle + redo,Forte; confirmar em campo,Segregar lotes sob risco,Verificar programação atuadores sensores e condição mecânica,SPC de Thickness + tendência Cpk, Cpk/RangeR/FPY,3-6 meses de estabilidade,2
RC-07,Confiabilidade em queda,SS-001,Desgaste rolete/rasqueta + backlog,Tendência falhas/MTTR + melhora pós-overhaul,Forte evidência temporal,Disponibilidade de sobressalentes,Eliminar backlog e PM por modo de falha,NHPP/MTBF/MTTR por horas de operação,MTBF/MTTR/falhas por 100h,6 meses pós-overhaul,3
RC-12,Mold wear,M-SOP-007,Desgaste acumulado por ciclos,Flash/Leakage sobem com exposição e caem após reforma,Forte evidência do dataset,Inspeção reforçada,Manutenção baseada em condição/ciclos,Contador + alerta + reforma,Defect rate/Cpk/RPN,Sem tendência antes do limite,4
RC-11,Fornecedor ruim,SUP-005,Processo de fornecimento com OOS elevado,Incoming reject e supplier complaints elevados,Forte associação fornecedor→entrada,Bloqueio/segregação,Supplier CAPA/auditoria/contingência,Scorecard fornecedor,PPM/OOS/complaints,Desempenho sustentado,5
RC-06,Paradas elevadas,ISBM-005,Envelhecimento hidráulico,2.3x frequência de paradas + qualidade normal,Forte associação de manutenção,Plano de contingência,Inspeção hidráulica e componentes críticos,Condition monitoring,MTBF/MTTR/Availability,Melhora sustentada,6
RC-02,Flash aumenta com ciclos,IM-004/molde,Campanhas longas e desgaste acumulado,Flash sobe entre setups e cai após changeover,Causalidade do dataset; confirmar em campo,Inspeção reforçada,Definir contador de ciclos e limite técnico,Alerta por ciclos + condição do molde,Flash DPMO vs ciclos,Confirmação por janela operacional,7
RC-04,Foil Transfer em alta velocidade,HF-001,Janela de processo estreita em alta velocidade,Ciclo curto correlaciona com defeito,Causalidade experimental/sintética; confirmar,Limitar velocidade ao padrão atual,Instrumentar velocidade e validar janela,Alarme de velocidade + SPC,Foil Transfer DPMO,Replicação em produção,8
RC-03,Adhesion spike,SS-002/FR-007-PP-350,Resina PP marginal de SUP-005,8-9x defeitos na janela + OOS incoming,Forte associação temporal/material,Segregar lote, Supplier CAPA + confirmação material-processo,Rastreabilidade lote + incoming QC,Adhesion DPMO,Queda sustentada pós-CAPA,9
RC-10,Variabilidade operador,OP-INJ-003,Alta dispersão sem viés de média,RangeR ~2x pares + média semelhante,Forte evidência de variabilidade,Supervisão/standard work,Observar método ergonomia e técnica,Auditoria + SPC,RangeR/FPY,Redução de variabilidade,10
RC-08,Prêmio de defeito turno 2,Todos,Fadiga/handover no dataset,Taxa turno 2 ~2.9% vs 2.2-2.4%,Associação; mecanismo requer validação,Reforço de supervisão,handover e estudo de carga/ergonomia,SPC e auditoria de standard work,FPY ajustado por mix,Sem diferença após ajuste,11
RC-09,Refação de lote,Multi-processo,Episódios centrados nas causas upstream,8 episódios + reemissão de WO,Forte como validação do dataset,Segregação,Eliminar causas RC-01..RC-07,Controle de rework/rework Pareto,Redo rate/hours/units,Redução sustentada,12
RC-13,Parâmetro oculto,HF-001/Injeção,Velocidade real não registrada,ActualCycleTimeSec recupera sinal,Causa de governança + processo,Usar proxy atual,Instrumentar parâmetros por ordem,Data quality + alarmes,Cobertura de parâmetros,>95% registros completos,13
RC-14,Reclamações parcialmente explicadas,Clientes,Mistura de escapes de qualidade e causas logísticas,Rastreabilidade mostra heterogeneidade,Forte evidência de heterogeneidade,Classificação manual dos casos,Taxonomia e rastreabilidade complaint→lote,Auditoria de rastreabilidade,CPMU/% rastreável,Redução de complaints sem causa,14
